'ID;'2^ID;'decimal;'2^(ID+1)-1;'Total de Bits;'A = decimal * bits;'B = bits / decimal;'A / B;'Potência de 2?;'Bit mais significativo (MSB);'Bit menos significativo (LSB);'n % 2^ID (mod rápido);'Binário com padding;'Distância do início;'Distância do fim;'% entre início e fim;'Paridade de bits;'É primo?;'Meio aritmético;'Meio inferior;'Meio superior;'Média de bits no intervalo;'n & ex (AND);'n | ex (OR);'n ^ ex (XOR);'~n (NOT);'n << 1 (shift left);'n >> 1 (shift right);'Menor com mesmo total de bits;'Maior com mesmo total de bits
'94;'19807040628566084398385987584;'25525831956644113617013748212;'39614081257132168796771975167;'48;'1225239933918917453616659914176;'0,000000000;'651568097078833906756858390869505149395026549351154450432;'0;'94;'2;'5718791328078029218627760628;'10100100111101001111001001010110001100000111100011111110110010010100000111010001011000111110100;'5718791328078029218627760628;'14088249300488055179758226955;'0,28873;'par;'0;'29710560942849126597578981376,000;'29710560942849126597578981375;'29710560942849126597578981376;'95,000;'25525831956644113617013748212;'29710560942849126597578981375;'4184728986205012980565233163;'-25525831956644113617013748213;'51051663913288227234027496424;'12762915978322056808506874106;'19807040628566225135874342911;'39614081257132028059283619840
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'99;'633825300114114700748351602688;'868221233689326498340379183142;'1267650600228229401496703205375;'53;'46015725385534304412040096706526;'0,000000000;'753808110629016044840917130570611038343926265169705103785984;'0;'99;'1;'234395933575211797592027580454;'1010111101010101111111000101100111000011001101011100100011101100011001111110110100100100100000100110;'234395933575211797592027580454;'399429366538902903156324022233;'0,36981;'ímpar;'0;'950737950171172051122527404032,000;'950737950171172051122527404031;'950737950171172051122527404032;'100,000;'868221233689326498340379183142;'950737950171172051122527404031;'82516716481845552782148220889;'-868221233689326498340379183143;'1736442467378652996680758366284;'434110616844663249170189591571;'633825300114119204347978973183;'1267650600228229260759214850048
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'104;'20282409603651670423947251286016;'29083230144918045706788529192435;'40564819207303340847894502572031;'58;'1686827348405246650993734693161230;'0,000000000;'845834275662269781873169224363455482657717616749124725170503680;'0;'104;'0;'8800820541266375282841277906419;'101101111000101001111110000100000010101001100110110000111111011100110001110010110101100110011110111110011;'8800820541266375282841277906419;'11481589062385295141105973379596;'0,43391;'par;'0;'30423614405477505635920876929024,000;'30423614405477505635920876929023;'30423614405477505635920876929024;'105,000;'29083230144918045706788529192435;'30423614405477505635920876929023;'1340384260559459929132347736588;'-29083230144918045706788529192436;'58166460289836091413577058384870;'14541615072459022853394264596217;'20282409603651814539135327141887;'40564819207303340707157014216704
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';'';''
